fips,locality,lsad,population,arts_estab,arts_emp,arts_payroll_k,nonprofit_rev_k,fed_grant_k,state_grant_k,median_income,pct_college,pct_poverty
51001,Accomack,County,32316,8,24,832,193.0,39,14,37000,14.2,20.5
51003,Albemarle,County,109330,21,55,2065,745.0,90,38,50600,29.5,12.1
51510,Alexandria City,city,159428,24,69,2522,923.0,114,47,57800,33.4,6.7
51005,Alleghany,County,14860,8,18,909,356.0,33,17,36300,18.0,19.7
51007,Amelia,County,13145,12,32,1482,504.0,55,24,34000,21.6,14.3
51009,Amherst,County,31605,16,43,1676,652.0,54,29,43900,23.3,13.7
51011,Appomattox,County,15911,8,22,745,308.0,30,18,35300,14.8,19.0
51013,Arlington,County,236842,32,81,2890,998.0,145,58,66000,32.9,9.2
51015,Augusta,County,75558,14,33,1533,477.0,67,25,42500,24.1,14.0
51017,Bath,County,4147,9,26,1022,395.0,43,19,34600,17.2,15.8
51019,Bedford,County,78997,10,29,948,387.0,43,16,36500,18.8,18.3
51021,Bland,County,6280,7,20,742,251.0,23,14,34600,14.8,20.3
51023,Botetourt,County,33419,7,26,659,191.0,26,14,34100,12.4,19.0
51520,Bristol City,city,16762,12,35,1257,406.0,63,25,41900,19.7,17.2
51025,Brunswick,County,16231,7,20,698,274.0,29,11,37300,14.9,20.2
51027,Buchanan,County,21004,8,27,1055,269.0,40,16,40200,19.1,16.8
51029,Buckingham,County,17148,9,27,1108,363.0,40,19,38800,16.7,15.6
51530,Buena Vista City,city,6478,13,33,1235,496.0,60,24,44000,19.2,14.9
51031,Campbell,County,54885,8,21,653,183.0,34,13,35400,15.0,18.8
51033,Caroline,County,30725,12,30,1214,449.0,60,27,40600,20.8,16.5
51035,Carroll,County,29791,13,38,1420,508.0,54,26,44400,20.7,16.7
51036,Charles City,County,6963,12,33,1349,480.0,50,29,41300,18.3,17.0
51037,Charlotte,County,11880,6,17,524,175.0,32,10,32100,15.2,20.8
51540,Charlottesville City,city,47266,18,53,1640,,53,29,54000,24.7,10.8
51550,Chesapeake City,city,244835,22,59,2225,825.0,104,41,53500,30.6,8.5
51041,Chesterfield,County,352802,13,35,1182,446.0,60,23,43600,17.6,17.4
51043,Clarke,County,14619,8,22,813,399.0,41,12,36900,13.8,17.9
51570,Colonial Heights City,city,17370,6,20,837,334.0,33,16,34100,13.1,20.6
51580,Covington City,city,5538,11,34,1344,470.0,61,17,41900,21.2,16.4
51045,Craig,County,5131,11,36,1220,388.0,48,22,41200,20.7,17.5
51047,Culpeper,County,52605,16,37,1399,521.0,70,26,40900,19.7,16.8
51049,Cumberland,County,9932,8,24,841,296.0,40,20,37300,12.1,21.3
51590,Danville City,city,40044,9,23,1082,313.0,45,17,37700,19.0,17.3
51051,Dickenson,County,14318,12,35,1162,317.0,48,21,37300,16.8,19.0
51053,Dinwiddie,County,28544,5,9,448,259.0,31,3,35200,10.1,21.6
51595,Emporia City,city,5346,10,32,849,364.0,49,19,41500,19.9,18.1
51057,Essex,County,10953,7,26,1075,244.0,34,18,38100,16.0,20.8
51600,Fairfax City,city,24019,20,50,1905,671.0,70,30,47100,30.4,12.7
51059,Fairfax County,County,1147532,29,70,2737,1007.0,106,54,59700,36.4,5.7
51610,Falls Church City,city,14617,10,28,1113,322.0,39,14,39100,17.0,20.6
51061,Fauquier,County,71222,11,32,1212,461.0,51,24,36700,20.1,16.4
51063,Floyd,County,15749,10,26,935,333.0,41,22,36400,13.8,18.2
51065,Fluvanna,County,27270,8,25,957,234.0,43,19,41200,15.4,20.8
51067,Franklin,County,56042,11,31,1091,469.0,49,20,41900,19.6,19.5
51620,Franklin City,city,7967,6,15,503,280.0,29,9,31900,11.8,21.5
51069,Frederick,County,89313,13,40,1215,467.0,61,25,41100,23.5,15.3
51630,Fredericksburg City,city,29036,21,57,2119,727.0,91,36,51900,28.1,8.9
51640,Galax City,city,6347,9,22,931,343.0,44,14,38300,15.5,19.8
51071,Giles,County,16720,14,36,1634,426.0,64,24,42700,21.0,13.6
51073,Gloucester,County,37348,12,31,1226,419.0,43,21,36300,17.7,18.7
51075,Goochland,County,23753,9,23,754,273.0,37,13,39900,16.7,20.4
51077,Grayson,County,15550,8,25,1004,307.0,38,18,38200,20.2,17.5
51079,Greene,County,19819,10,26,1025,318.0,52,18,42100,21.1,17.0
51081,Greensville,County,11336,12,36,1255,320.0,55,32,42300,17.9,16.5
51083,Halifax,County,33911,11,36,1239,448.0,49,24,40400,23.5,16.4
51650,Hampton City,city,134510,22,57,2141,828.0,90,40,57300,30.2,12.1
51085,Hanover,County,107766,10,27,1175,313.0,45,22,39900,17.1,17.3
51660,Harrisonburg City,city,53016,24,64,2482,901.0,106,45,56100,39.5,9.7
51087,Henrico,County,330818,16,45,1864,597.0,75,37,46500,26.8,14.0
51089,Henry,County,50557,7,20,573,240.0,42,13,34900,12.7,17.4
51091,Highland,County,2190,12,30,1184,390.0,43,19,36400,18.6,15.1
51670,Hopewell City,city,22529,11,33,1282,441.0,51,23,39700,18.1,16.3
51093,Isle of Wight,County,37109,9,30,693,281.0,52,22,39900,15.8,19.1
51095,James City,County,76523,12,31,1257,390.0,46,26,41600,19.9,16.3
51099,King George,County,26836,6,22,658,282.0,40,11,33600,11.3,20.9
51101,King William,County,17148,8,25,837,267.0,43,11,36100,15.3,19.2
51097,King and Queen,County,7025,12,31,1103,421.0,47,19,40700,19.4,17.8
51103,Lancaster,County,10603,6,18,563,225.0,29,9,34400,13.4,19.2
51105,Lee,County,23423,8,27,1154,357.0,42,22,39000,12.4,18.3
51678,Lexington City,city,7446,22,53,2092,726.0,90,37,46000,32.2,11.5
51107,Loudoun,County,413538,13,46,1483,586.0,65,25,42000,21.1,13.7
51109,Louisa,County,37591,12,38,1102,431.0,49,24,42200,19.7,16.5
51111,Lunenburg,County,12196,11,36,1200,367.0,52,18,45700,18.3,17.7
51680,Lynchburg City,city,82168,15,45,1779,587.0,77,32,45500,27.6,14.4
51113,Madison,County,13261,11,24,1251,366.0,56,22,40000,18.7,16.0
51683,Manassas City,city,41085,6,13,491,132.0,25,7,31100,6.0,21.1
51685,Manassas Park City,city,17478,4,17,504,263.0,33,10,28000,8.8,20.6
51690,Martinsville City,city,12554,14,39,1522,625.0,59,28,45300,25.9,12.8
51115,Mathews,County,8834,7,22,826,241.0,36,15,32900,12.9,18.3
51117,Mecklenburg,County,30587,13,36,1384,393.0,64,24,43400,20.4,13.0
51119,Middlesex,County,10582,9,22,1117,443.0,39,16,38100,15.3,19.8
51121,Montgomery,County,98535,21,57,2188,780.0,83,44,53200,29.9,9.3
51125,Nelson,County,14930,5,20,661,263.0,23,12,37000,12.9,22.0
51127,New Kent,County,23091,13,36,1221,517.0,59,24,43400,16.7,17.1
51700,Newport News City,city,179225,26,62,2754,958.0,101,46,53300,36.0,7.2
51710,Norfolk City,city,242742,27,85,3271,1167.0,120,61,52000,43.6,3.0
51131,Northampton,County,11710,10,31,1243,542.0,53,22,42500,18.9,18.5
51133,Northumberland,County,12095,9,23,879,339.0,41,15,37500,14.2,18.1
51720,Norton City,city,3981,7,23,682,217.0,37,14,36300,13.6,20.6
51135,Nottoway,County,15232,12,34,1349,483.0,60,24,42800,20.1,15.9
51137,Orange,County,37051,8,24,862,220.0,46,11,36100,18.6,19.3
51139,Page,County,23902,11,30,1202,421.0,42,15,40900,13.7,16.8
51141,Patrick,County,17608,12,34,1330,377.0,58,22,45200,18.4,15.0
51730,Petersburg City,city,31346,6,16,520,106.0,36,15,34600,12.6,20.4
51143,Pittsylvania,County,60354,11,38,1159,391.0,44,23,41900,16.2,16.6
51735,Poquoson City,city,12271,13,28,1323,427.0,56,25,45200,21.7,15.4
51740,Portsmouth City,city,94398,22,60,2296,861.0,86,40,53000,31.9,11.9
51145,Powhatan,County,29652,13,36,1456,526.0,56,22,43000,21.9,14.2
51147,Prince Edward,County,22802,12,24,983,410.0,43,18,41100,15.3,14.0
51149,Prince George,County,38353,7,27,807,275.0,40,13,36400,13.5,18.8
51153,Prince William,County,470335,20,46,2038,740.0,84,37,47000,27.6,11.0
51155,Pulaski,County,34027,4,9,318,91.0,5,7,32100,11.9,21.6
51750,Radford City,city,18249,11,31,1156,512.0,55,20,42500,18.4,18.1
51157,Rappahannock,County,7370,7,18,634,269.0,32,12,30900,11.8,21.3
51760,Richmond City,city,230436,27,63,2681,911.0,114,48,58000,38.9,7.4
51159,Richmond County,County,9023,4,14,543,178.0,26,11,31100,11.7,19.6
51770,Roanoke City,city,99143,30,78,3271,1134.0,122,56,62500,40.9,4.9
51161,Roanoke County,County,94186,22,55,2164,811.0,82,41,49400,30.8,11.9
51163,Rockbridge,County,22573,11,30,1453,348.0,57,22,43600,19.1,18.9
51165,Rockingham,County,81948,10,27,933,205.0,38,14,35300,15.9,18.2
51167,Russell,County,26586,9,21,854,211.0,42,18,37000,14.9,18.9
51775,Salem City,city,25301,11,33,1195,457.0,54,20,33600,19.2,16.2
51169,Scott,County,21566,8,24,833,311.0,46,15,34800,15.8,19.8
51171,Shenandoah,County,43616,10,20,1053,278.0,43,17,33500,16.6,18.4
51173,Smyth,County,30104,13,29,1066,251.0,49,23,38900,17.4,17.5
51175,Southampton,County,17631,10,25,1161,409.0,48,23,40700,15.8,17.9
51177,Spotsylvania,County,136215,20,51,2218,747.0,98,43,48900,31.5,11.7
51179,Stafford,County,152882,14,35,1532,509.0,56,21,43800,19.5,15.9
51790,Staunton City,city,24932,18,51,1639,796.0,78,31,50000,23.5,11.1
51800,Suffolk City,city,92108,11,31,1354,419.0,39,22,41100,20.4,17.6
51181,Surry,County,6422,9,29,919,249.0,38,19,34800,15.0,20.2
51183,Sussex,County,11159,7,19,677,258.0,24,8,31600,14.2,17.9
51185,Tazewell,County,40595,12,34,1213,446.0,52,19,40600,21.1,14.4
51810,Virginia Beach City,city,449974,32,79,3034,1152.0,123,58,66000,41.8,5.7
51187,Warren,County,40164,9,31,923,285.0,37,20,39400,14.0,17.8
51191,Washington,County,53740,8,22,864,276.0,38,13,36100,15.7,19.9
51820,Waynesboro City,city,22630,7,21,809,285.0,39,14,35600,13.1,16.8
51193,Westmoreland,County,18015,16,37,1548,679.0,72,33,45900,22.3,16.6
51830,Williamsburg City,city,14954,20,49,2215,828.0,78,42,52300,30.3,12.5
51840,Winchester City,city,28078,27,73,2942,1042.0,113,57,59800,37.3,5.7
51195,Wise,County,37383,10,30,433,148.0,9,6,38000,21.1,12.9
